Date,Open,High,Low,Close,Volume
1/4/2021 16:00:00,92.11,96.06,90.92,92.3,51802552
1/5/2021 16:00:00,92.1,93.21,91.41,92.77,34207989
1/6/2021 16:00:00,91.62,92.28,89.46,90.33,51911657
1/7/2021 16:00:00,91.33,95.51,91.2,95.16,42897157
1/8/2021 16:00:00,95.98,96.4,93.27,94.58,39816400
1/11/2021 16:00:00,94.03,99.23,93.76,97.25,48669103
1/12/2021 16:00:00,97.86,98.97,94.07,95.36,67672311
1/13/2021 16:00:00,93.01,93.89,90.84,91.78,60712896
1/14/2021 16:00:00,91.77,92.36,90.45,90.79,53408241
1/15/2021 16:00:00,90.75,91.59,87.86,88.21,49340338
1/19/2021 16:00:00,89.56,89.58,87.24,89.45,45115055
1/20/2021 16:00:00,90.55,90.78,88.6,88.75,35185810
1/21/2021 16:00:00,89.34,92.07,88.43,91.53,54596079
1/22/2021 16:00:00,94.42,95.95,91.88,92.79,71294707
1/25/2021 16:00:00,94.14,95.74,91.4,94.13,55086943
1/26/2021 16:00:00,94.91,95.72,93.63,94.71,59449053
1/27/2021 16:00:00,91.1,91.88,86.22,88.84,73341193
1/28/2021 16:00:00,89.83,89.88,87.3,87.52,47048362
1/29/2021 16:00:00,87.56,88.33,85.02,85.64,56735828
2/1/2021 16:00:00,86.83,87.95,84.66,87.66,42359344
2/2/2021 16:00:00,88.49,89.28,86.95,88.86,33850049
2/3/2021 16:00:00,88.6,89.48,87.34,87.89,32312885
2/4/2021 16:00:00,88.22,88.6,87.06,87.84,30791641
2/5/2021 16:00:00,88.15,88.36,86.88,87.9,30268677
2/8/2021 16:00:00,88.31,91.99,87.98,91.47,47639887
2/9/2021 16:00:00,91.39,93.3,90.55,90.91,37596446
2/10/2021 16:00:00,91.5,93.27,90.46,92.35,42441300
2/11/2021 16:00:00,92.9,93.65,91.33,92.66,35571025
2/12/2021 16:00:00,92.75,94.22,91.9,93.77,38538353
2/16/2021 16:00:00,93.9,94,90.75,91.46,35105917
2/17/2021 16:00:00,90.56,90.96,88.57,89.94,32284075
2/18/2021 16:00:00,89.09,89.6,87.31,88.64,35624948
2/19/2021 16:00:00,89.75,90.42,88.69,89.58,29548273
2/22/2021 16:00:00,88.15,88.3,85.21,85.37,36930182
2/23/2021 16:00:00,83.4,85.11,79.36,84.74,49720914
2/24/2021 16:00:00,84.33,87.09,82.81,86.94,40821150
2/25/2021 16:00:00,86.17,87.09,81.92,82.42,54625140
2/26/2021 16:00:00,83.57,85.59,82.91,84.51,48962907
3/1/2021 16:00:00,85.37,86.5,83.97,86.39,32746181
3/2/2021 16:00:00,86.92,86.95,84.04,84.13,34828157
3/3/2021 16:00:00,84.28,84.38,80.85,80.86,43541041
3/4/2021 16:00:00,80.23,81.81,76.78,77.75,60549371
3/5/2021 16:00:00,79,79.48,74.2,78.52,58548912
3/8/2021 16:00:00,78.03,79,73.86,73.96,54563874
3/9/2021 16:00:00,76.73,79.22,75.77,78.53,45088336
3/10/2021 16:00:00,79.75,80.04,77.41,77.52,45416616
3/11/2021 16:00:00,79.4,81.89,79.37,81.23,43583719
3/12/2021 16:00:00,79.73,81.19,79.23,81.05,32937950
3/15/2021 16:00:00,81.91,83.39,81.2,82.5,39365424
3/16/2021 16:00:00,83.66,84.75,82.26,82.75,42971552
3/17/2021 16:00:00,81.75,83.25,80.41,82.63,43320573
3/18/2021 16:00:00,81.06,81.62,78.01,78.12,51036502
3/19/2021 16:00:00,78.49,79.34,77.59,79.06,42283391
3/22/2021 16:00:00,79.99,81.27,79.22,80.3,39648614
3/23/2021 16:00:00,80.13,80.34,77.95,78.38,40466635
3/24/2021 16:00:00,77.55,78.8,76.4,76.48,43753642
3/25/2021 16:00:00,75.85,76.95,74.96,76.22,44735103
3/26/2021 16:00:00,76.62,77.5,75.03,77.41,49148659
3/29/2021 16:00:00,77.03,78.02,76.26,77.14,37144298
3/30/2021 16:00:00,76.47,76.56,74.85,76,39169250
3/31/2021 16:00:00,76.57,79.13,76.52,78.5,43659455
4/1/2021 16:00:00,80.16,81.31,79.48,81.09,40182380
4/5/2021 16:00:00,81.74,81.9,80.39,81.43,32610554
4/6/2021 16:00:00,81.21,82.46,80.88,81.44,29327948
4/7/2021 16:00:00,81.32,83.1,80.35,82.2,35590925
4/8/2021 16:00:00,83.32,83.79,82.44,83.35,41925284
4/9/2021 16:00:00,82.8,83.59,82.16,82.76,32759867
4/12/2021 16:00:00,82.06,82.18,78.03,78.58,62098804
4/13/2021 16:00:00,79.67,80.72,78.98,80.19,37767257
4/14/2021 16:00:00,79.88,80.13,77.94,78.55,34263832
4/15/2021 16:00:00,80.32,83.95,79.97,83.01,68942819
4/16/2021 16:00:00,83.3,83.59,81.53,82.15,47280570
4/19/2021 16:00:00,82.13,83.18,80.39,81.11,39115461
4/20/2021 16:00:00,80.82,81.11,78.51,79.27,34977750
4/21/2021 16:00:00,78.99,81.66,78.86,81.61,35068955
4/22/2021 16:00:00,81.61,81.79,78.59,79.06,38846050
4/23/2021 16:00:00,80.21,83.3,79.96,82.76,49267281
4/26/2021 16:00:00,83.35,85.9,82.7,85.41,57594535
4/27/2021 16:00:00,85.67,87.15,85.13,85.21,61909865
4/28/2021 16:00:00,88.85,89.2,83.92,84.02,108920306
4/29/2021 16:00:00,84.7,85.27,82.63,83.91,51294528
4/30/2021 16:00:00,82.97,84.1,81.42,81.62,46601858
5/3/2021 16:00:00,81.97,82,78.46,78.55,66323268
5/4/2021 16:00:00,77.95,78.67,77.04,78.61,59194328
5/5/2021 16:00:00,79.05,79.3,77.36,77.83,42310154
5/6/2021 16:00:00,77.63,78.06,76.47,77.89,38661325
5/7/2021 16:00:00,78.75,79.57,78.22,78.81,36954179
5/10/2021 16:00:00,78.2,78.3,75.92,75.99,45134490
5/11/2021 16:00:00,73.57,76.93,72.75,76.83,51008239
5/12/2021 16:00:00,75.09,76.13,74.16,74.64,42531423
5/13/2021 16:00:00,75.21,75.7,72.5,73.09,48646754
5/14/2021 16:00:00,74.02,75.03,72.72,74.59,38355787
5/17/2021 16:00:00,74.22,75.52,73.41,74.65,40779244
5/18/2021 16:00:00,74.74,75.77,74.24,74.44,31982482
5/19/2021 16:00:00,73.16,76.97,72.76,76.23,73966162
5/20/2021 16:00:00,76.81,78.27,76.25,78.06,49135012
5/21/2021 16:00:00,78.55,78.81,77.04,77.17,40201088
5/24/2021 16:00:00,77.26,78.01,76.8,77.44,33194287
5/25/2021 16:00:00,77.33,78.77,76.84,77.86,47353101
5/26/2021 16:00:00,77.83,78.59,77.59,78.34,30353997
5/27/2021 16:00:00,78.11,78.43,77.47,78.42,35883219
5/28/2021 16:00:00,78.66,81.09,78.66,80.08,40952663
6/1/2021 16:00:00,81.01,82.91,80.66,80.81,43433042
6/2/2021 16:00:00,81,82.6,80.66,81.97,35203224
6/3/2021 16:00:00,81.13,81.89,80.26,80.28,29811969
6/4/2021 16:00:00,80.92,82.19,80.81,81.58,26387799
6/7/2021 16:00:00,81.4,81.68,80.38,81.35,29006782
6/8/2021 16:00:00,81.87,82.65,80.45,80.89,26956625
6/9/2021 16:00:00,81.09,81.68,79.8,79.96,28454646
6/10/2021 16:00:00,80.02,81.71,79.7,81.56,28606356
6/11/2021 16:00:00,81.61,82.33,80.7,81.31,24310894
6/14/2021 16:00:00,81.51,81.55,80.2,81.55,27830243
6/15/2021 16:00:00,81.59,81.68,80.22,80.47,26194342
6/16/2021 16:00:00,80.75,81.45,78.96,80.11,29598309
6/17/2021 16:00:00,80.77,85.37,80.57,84.56,77822823
6/18/2021 16:00:00,84.28,85.77,83.48,84.65,58736805
6/21/2021 16:00:00,83.49,84.19,82.21,82.59,44417112
6/22/2021 16:00:00,82.9,84.04,82.48,83.58,32107700
6/23/2021 16:00:00,83.83,84.49,83.16,83.82,25992435
6/24/2021 16:00:00,84.39,87.14,84.37,86.1,42217665
6/25/2021 16:00:00,86.34,86.36,85.1,85.62,27804535
6/28/2021 16:00:00,86.38,88,86.15,87.08,30262042
6/29/2021 16:00:00,87.41,90.3,86.66,89.52,46181000
6/30/2021 16:00:00,90.82,94.34,90.6,93.93,70721525
7/1/2021 16:00:00,94.04,94.18,91.7,93.31,58059019
7/2/2021 16:00:00,93.28,95.27,92.21,94.7,51342975
7/6/2021 16:00:00,94.88,95.41,93.32,94.47,44930119
7/7/2021 16:00:00,95.02,95.44,90.31,90.54,51498481
7/8/2021 16:00:00,87.86,90.34,87.45,89.74,45673454
7/9/2021 16:00:00,90.04,91.26,88.53,90.9,35278416
7/12/2021 16:00:00,91.22,91.9,89.65,90.81,28526559
7/13/2021 16:00:00,90.48,91.41,89.83,90.26,30367595
7/14/2021 16:00:00,90.76,91.4,88.94,89.05,28108505
7/15/2021 16:00:00,89.78,89.78,86.18,86.93,38944741
7/16/2021 16:00:00,87.32,88.03,85.68,85.89,35860740
7/19/2021 16:00:00,84.99,87.23,84.24,86.58,39244796
7/20/2021 16:00:00,87.09,87.77,85.17,87.11,28088956
7/21/2021 16:00:00,87.25,89.49,86.9,89.41,29469864
7/22/2021 16:00:00,89.4,91.36,89.08,91.21,33730078
7/23/2021 16:00:00,91.35,92.37,90.19,92.15,31708899
7/26/2021 16:00:00,92.01,92.75,91.12,91.82,27668459
7/27/2021 16:00:00,92.94,94.1,89.1,91.03,69427021
7/28/2021 16:00:00,93.44,98.71,89.65,97.93,140561028
7/29/2021 16:00:00,96.58,105.74,96.58,102.95,164091761
7/30/2021 16:00:00,101.6,106.97,101.38,106.19,125632018
8/2/2021 16:00:00,105.93,110.33,103.83,108.63,115581854
8/3/2021 16:00:00,108.15,114.85,107.66,112.56,157723142
8/4/2021 16:00:00,114.36,122.49,114.16,118.77,225368699
8/5/2021 16:00:00,116.63,117.68,111.59,112.35,137860865
8/6/2021 16:00:00,110.55,116.26,109.7,110.11,143899026
8/9/2021 16:00:00,111.31,112.33,107.06,107.58,115749943
8/10/2021 16:00:00,107.9,109.17,104.36,106.48,113012297
8/11/2021 16:00:00,107.6,109.79,105.62,107.68,91788289
8/12/2021 16:00:00,107.39,108.44,105.86,106.5,60625725
8/13/2021 16:00:00,107.17,111.71,106.57,110.55,100135745
8/16/2021 16:00:00,110.2,111.58,105.87,107.48,73398938
8/17/2021 16:00:00,106.64,108.7,105.35,107.56,74053905
8/18/2021 16:00:00,107.35,108.07,103.27,103.44,79387943
8/19/2021 16:00:00,103.32,106.18,101.98,103.7,71117494
8/20/2021 16:00:00,104.32,105.98,103.99,104.65,55227562
8/23/2021 16:00:00,105.3,109.02,104.86,108.77,68835281
8/24/2021 16:00:00,109.45,109.61,107.28,107.65,51239297
8/25/2021 16:00:00,108.13,109.91,107.45,108.3,45485504
8/26/2021 16:00:00,108.57,109.23,106.84,107.27,51442548
8/27/2021 16:00:00,108.01,111.78,107.8,111.4,61030014
8/30/2021 16:00:00,112.61,114.49,111.26,111.32,56130467
8/31/2021 16:00:00,111.26,111.26,109.03,110.72,49338955
9/1/2021 16:00:00,111.3,111.85,109.85,109.99,38579559
9/2/2021 16:00:00,110.32,110.88,108.77,109.2,40108763
9/3/2021 16:00:00,108.85,111.17,108.5,109.92,42623780
9/7/2021 16:00:00,109.96,110.58,108.66,109.15,28815232
9/8/2021 16:00:00,108.88,109.3,105.52,106.17,43067911
9/9/2021 16:00:00,106.56,107.3,105.84,106.15,31857873
9/10/2021 16:00:00,106.99,106.99,104.98,105.2,32602293
9/13/2021 16:00:00,105.26,105.28,102.63,104.8,37767787
9/14/2021 16:00:00,105.52,106.82,104.42,105.73,40629527
9/15/2021 16:00:00,106,106.32,104.03,105.6,37998941
9/16/2021 16:00:00,104.92,106.75,103.76,106.22,38150269
