Date,Open,High,Low,Close,Volume
1/4/2021 16:00:00,88,88.12,85.36,86.31,1866195
1/5/2021 16:00:00,86.25,87.34,85.85,87,1017962
1/6/2021 16:00:00,85.01,87.2,84.81,86.14,2329401
1/7/2021 16:00:00,86.34,88.89,86.34,88.72,2096829
1/8/2021 16:00:00,88.86,89.97,88.06,89.89,1774226
1/11/2021 16:00:00,88.85,89.22,87.61,87.81,1740618
1/12/2021 16:00:00,87.27,88.4,85.82,86.87,1476715
1/13/2021 16:00:00,86.37,87.82,86.37,87.36,1171590
1/14/2021 16:00:00,87.44,88.38,86.3,86.55,1460617
1/15/2021 16:00:00,86.45,87.38,85.59,86.38,1572214
1/19/2021 16:00:00,87.15,90.19,86.64,89.22,2082951
1/20/2021 16:00:00,91.32,94.99,90.98,94,3207570
1/21/2021 16:00:00,94.68,96.6,93.97,94.21,2932973
1/22/2021 16:00:00,94.57,95.22,93.82,94.63,1637195
1/25/2021 16:00:00,95.64,96.09,92.96,94.71,2529346
1/26/2021 16:00:00,94.3,95.79,93.81,95.4,1573078
1/27/2021 16:00:00,93.75,94.02,89.86,90.95,4125631
1/28/2021 16:00:00,91.55,94.4,91.55,92.66,2763905
1/29/2021 16:00:00,91.7,92.38,90.08,91.37,2226509
2/1/2021 16:00:00,92.23,95.78,92.23,94.65,2012603
2/2/2021 16:00:00,95.66,97.47,95.32,95.96,3316620
2/3/2021 16:00:00,103.28,105.33,100.68,102.94,4894082
2/4/2021 16:00:00,103.03,103.47,101.76,102.68,2429780
2/5/2021 16:00:00,102.98,104.8,102.5,104.44,1493256
2/8/2021 16:00:00,105,105.75,103.17,104.23,1441443
2/9/2021 16:00:00,103.74,104.93,103.5,103.77,1094583
2/10/2021 16:00:00,104.16,104.94,102.61,104.32,1255080
2/11/2021 16:00:00,104.55,104.7,103.44,104.44,1024029
2/12/2021 16:00:00,103.99,104.98,103.68,104.75,949525
2/16/2021 16:00:00,104.59,107.26,104.59,105.54,1550195
2/17/2021 16:00:00,104.7,106.12,104.42,105.93,1015177
2/18/2021 16:00:00,105.25,106.1,104.67,105.29,1128549
2/19/2021 16:00:00,105.39,105.93,104.17,104.44,1896939
2/22/2021 16:00:00,102.68,104.02,102.4,102.71,1473317
2/23/2021 16:00:00,100.7,103.63,99.51,103.01,1732899
2/24/2021 16:00:00,101.5,104.42,101.38,104.19,1130437
2/25/2021 16:00:00,102.8,104.15,100.32,100.8,2077409
2/26/2021 16:00:00,101.5,102.83,100.05,101.1,2002064
3/1/2021 16:00:00,102.4,103.81,101.72,103.48,1303089
3/2/2021 16:00:00,103.24,104.74,102.83,103.22,1278184
3/3/2021 16:00:00,102.6,103.8,99.7,100.57,1694645
3/4/2021 16:00:00,100.74,103.73,100.27,101.7,2460786
3/5/2021 16:00:00,103.06,105.31,101.39,104.85,2654977
3/8/2021 16:00:00,104.2,105.69,100.26,100.38,1843371
