Date,Open,High,Low,Close,Volume
1/4/2021 16:00:00,285.41,290.8,274.44,278.24,3948459
1/5/2021 16:00:00,280.62,293.49,279.3,283.83,5202595
1/6/2021 16:00:00,279.99,283.64,266.41,268.02,5736765
1/7/2021 16:00:00,272.59,304.9,267.7,304.2,16546600
1/8/2021 16:00:00,315,325.72,298,300.1,9106784
1/11/2021 16:00:00,295,312.17,287.99,293.19,4524725
1/12/2021 16:00:00,298,299.66,286.21,293.35,3256655
1/13/2021 16:00:00,295,306.86,294.15,296.55,2867853
1/14/2021 16:00:00,305,313.48,300.01,303.76,4585768
1/15/2021 16:00:00,306.82,308.67,290.65,291.3,3209914
1/19/2021 16:00:00,293.75,295,284.04,286.21,3143562
1/20/2021 16:00:00,289,289.1,280.88,281.88,2259898
1/21/2021 16:00:00,288,289.58,282.6,286.32,1893952
1/22/2021 16:00:00,284.29,287.48,279,285.68,2053625
1/25/2021 16:00:00,292.45,296.81,276,287.25,3750913
1/26/2021 16:00:00,286.64,289.24,280.98,280.98,1951525
1/27/2021 16:00:00,277,285.75,264,266.2,4387660
1/28/2021 16:00:00,277.02,283,268.42,273.13,2435233
1/29/2021 16:00:00,271,277.78,267.5,272.45,2176969
2/1/2021 16:00:00,275.1,283.2,273.38,282,2226874
2/2/2021 16:00:00,289.71,310.66,286.5,300.71,7223949
2/3/2021 16:00:00,309.04,318.88,300.54,304.64,4629249
2/4/2021 16:00:00,309.8,310.88,299.03,303.61,2192555
2/5/2021 16:00:00,306.07,307.07,299.64,306.05,1757791
2/8/2021 16:00:00,308.71,317.9,302.03,304.5,2395043
2/9/2021 16:00:00,304.5,323.23,302.27,314.29,4355379
2/10/2021 16:00:00,324.8,327.41,300,305.91,3425306
2/11/2021 16:00:00,305.25,312.3,296.38,298.73,2344595
2/12/2021 16:00:00,299,303.34,292.34,299.47,1518585
2/16/2021 16:00:00,304.7,304.99,290.16,294.55,1986250
2/17/2021 16:00:00,289,292.82,283.27,288.78,1710305
2/18/2021 16:00:00,285,296.95,281.31,289.78,2257965
2/19/2021 16:00:00,292.49,298,287.59,290,2305449
2/22/2021 16:00:00,287.46,287.77,268,269.65,3820128
2/23/2021 16:00:00,260.4,271,242.98,269.08,4018270
2/24/2021 16:00:00,268.88,275.25,262.36,273.52,2104284
2/25/2021 16:00:00,270.18,275.49,255.25,260.34,2900264
2/26/2021 16:00:00,264.22,266.66,254.31,259.54,2593106
3/1/2021 16:00:00,269.3,273.71,263.29,272.17,2762273
3/2/2021 16:00:00,270,280.1,270,270.6,2833395
3/3/2021 16:00:00,270,271.4,246.36,247.03,6234464
3/4/2021 16:00:00,255.82,279.45,236,249,15923129
3/5/2021 16:00:00,250.64,250.73,217.82,239.73,20149056
3/8/2021 16:00:00,235,241.16,212.29,213.99,8311400
3/9/2021 16:00:00,221.84,235.47,219.16,230.02,6302432
3/10/2021 16:00:00,229.32,235.35,221.43,227.11,7872912
3/11/2021 16:00:00,235,241.55,233.2,237.81,5731082
3/12/2021 16:00:00,233.83,235.65,227.75,230,3741743
3/15/2021 16:00:00,230.98,241.6,230.75,238.76,8004291
